ID	DOCULECT	CONCEPT	TOKENS
3265	wold-Romanian	furrow	b r a z d ə
3266	wold-Romanian	dig	a + s ə p a
3267	wold-Romanian	spade	k a z m a
3268	wold-Romanian	spade	h ɨ r l e ts
3269	wold-Romanian	shovel	l o p a t ə
3270	wold-Romanian	hoe	s a p ə
3271	wold-Romanian	pitchfork	f u r k ə
3272	wold-Romanian	rake	g r e b l ə
3273	wold-Romanian	sowseeds	a + s e m ə n a
3274	wold-Romanian	sowseeds	a + ɨ n s ə m ɨ n ts a
3275	wold-Romanian	sowseeds	a + s ə dʲ
3276	wold-Romanian	seed	s ə m ɨ n ts ə
3277	wold-Romanian	mow	a + k o sʲ
3278	wold-Romanian	sickleorscythe	s e tʃ e r ə
3279	wold-Romanian	sickleorscythe	k o a s ə
3280	wold-Romanian	thresh	a + t r e i e r a
3281	wold-Romanian	threshingfloor	a r m a n
3282	wold-Romanian	threshingfloor	a r i e
3283	wold-Romanian	harvestorharvestseason	r e k o l t ə
3284	wold-Romanian	harvestorharvestseason	s e tʃ e r i ʃ
3285	wold-Romanian	harvestorharvestseason	k u l e s
3286	wold-Romanian	grain	g r ɨ n e
3287	wold-Romanian	grain	tʃ e r e a l ə
3288	wold-Romanian	wheat	g r ɨ u
3289	wold-Romanian	barley	o r z
3290	wold-Romanian	rye	s e k a r ə
3291	wold-Romanian	oat	o v ə z
3292	wold-Romanian	maize	p o r u m b
3293	wold-Romanian	rice	o r e z
3294	wold-Romanian	grass	i a r b ə
3295	wold-Romanian	hay	f ɨ n
3296	wold-Romanian	plantvegetation	p l a n t ə
3297	wold-Romanian	plantsomething	a + r ə s ə dʲ
3298	wold-Romanian	plantsomething	a + p l a n t a
3299	wold-Romanian	root	r ə d ə tʃ i n ə
3300	wold-Romanian	branchortwig	k r e a ŋ g ə
3301	wold-Romanian	branchortwig	k r a k ə
3302	wold-Romanian	leaf	f r u n z ə
3303	wold-Romanian	leaf	f o a i e
3304	wold-Romanian	flower	f l o a r e
3305	wold-Romanian	tree	k o p a k
3306	wold-Romanian	tree	a r b o r e
3307	wold-Romanian	tree	p o m
3308	wold-Romanian	oak	s t e ʒ a r
3309	wold-Romanian	beech	f a g
3310	wold-Romanian	birch	m e s t e a k ə n
3311	wold-Romanian	pine	p i n
3312	wold-Romanian	fir	b r a d
3313	wold-Romanian	acorn	g i n d ə
3314	wold-Romanian	vine	v i ts ə + d e + v i e
3315	wold-Romanian	vine	v i e
3316	wold-Romanian	tobacco	t u t u n
3317	wold-Romanian	tobacco	d u h a n
3318	wold-Romanian	smokeinhale	a + f u m a
3319	wold-Romanian	smokeinhale	a + b e a + t u t u n
3320	wold-Romanian	smokeinhale	a + d u h a nʲ
3321	wold-Romanian	pipe	l u l e a
3322	wold-Romanian	pipe	p i p ə
3323	wold-Romanian	treestump	tʃ i o t
3324	wold-Romanian	treetrunk	t r u n kʲ
3325	wold-Romanian	forkedbranch	k r ə k a n ə
3326	wold-Romanian	forkedbranch	r a m i f i k a r e
3327	wold-Romanian	bark	s k o a r ts ə
3328	wold-Romanian	bark	k o a ʒ ə
3329	wold-Romanian	sap	s e v ə
3330	wold-Romanian	sap	m ɨ z g ə
3331	wold-Romanian	sap	s u k
3332	wold-Romanian	palmtree	p a l m i e r
3333	wold-Romanian	palmtree	p a l m
3334	wold-Romanian	coconut	n u k ə + d e + k o k o s
3335	wold-Romanian	citrusfruit	f r u k t + tʃ i t r i k
3336	wold-Romanian	banana	b a n a n ə
3337	wold-Romanian	banyan	b a n i a n
3338	wold-Romanian	sweetpotato	b a t a t
3339	wold-Romanian	sweetpotato	k a r t o f + d u l tʃ e
3340	wold-Romanian	yam	i g n a m ə
3341	wold-Romanian	cassava	m a n i o k
3342	wold-Romanian	gourd	t i g v ə
3343	wold-Romanian	gourd	t ɨ l v
3344	wold-Romanian	pumpkin	d o v l e a k
3345	wold-Romanian	pumpkin	b o s t a n
3346	wold-Romanian	bamboo	b a m b u s
3347	wold-Romanian	sugarcane	t r e s t i e + d e + z a h ə r
3348	wold-Romanian	fishpoison	o t r a v ə + p e n t r u + p e s k u i t
3349	wold-Romanian	nettle	u r z i k ə
3350	wold-Romanian	mushroom	tʃ i u p e r k ə
3351	wold-Romanian	do	a + f a tʃ e
3352	wold-Romanian	worklabour	a + l u k r a
3353	wold-Romanian	worklabour	a + m u n tʃʲ
3354	wold-Romanian	bend	a + ɨ n d o i
3355	wold-Romanian	bend	a + ɨ n k o v o i a
3356	wold-Romanian	bend	a + k u r b a
3357	wold-Romanian	fold	a + ɨ n d o i
3358	wold-Romanian	fold	a + ɨ m p ə t u rʲ
3359	wold-Romanian	tie	a + l e g a
3360	wold-Romanian	untie	a + d e z l e g a
3361	wold-Romanian	chain	l a n ts
3362	wold-Romanian	rope	f r ɨ ŋ g h i e
3363	wold-Romanian	rope	f u n i e
3364	wold-Romanian	rope	ʃ t r e a ŋ g
3365	wold-Romanian	knot	n o d
3366	wold-Romanian	strikeorbeat	a + l o vʲ
3367	wold-Romanian	strikeorbeat	a + b a t e
3368	wold-Romanian	pound	a + b o k s a
3369	wold-Romanian	cut	t ə i a
3370	wold-Romanian	cutdown	a + d o b o r ɨ
3371	wold-Romanian	chop	a + t o k a
3372	wold-Romanian	stabtodeath	a + ɨ n ʒ u ŋ g h i a
3373	wold-Romanian	stabtodeath	a + s t r ə p u ŋ g e
3374	wold-Romanian	knife	k u ts i t
3375	wold-Romanian	shears	f o a r f e tʃ e
3376	wold-Romanian	axe	t o p o r
3377	wold-Romanian	axe	b a r d ə
3378	wold-Romanian	adze	t e s l ə
3379	wold-Romanian	breakdestroyorgetdestroyed	a + s p a r dʒ
3380	wold-Romanian	breakdestroyorgetdestroyed	a + k r ə p a
3381	wold-Romanian	brokennotworking	s t r i k a t
3382	wold-Romanian	brokennotworking	d e f e k t
3383	wold-Romanian	split	a + d e s p i k a
3384	wold-Romanian	tearshred	a + r u p e
3385	wold-Romanian	tearshred	a + s f ɨ ʃ i a
3386	wold-Romanian	statue	s t a t u i e
3387	wold-Romanian	pulloffskin	a + ʒ u p u i
3388	wold-Romanian	pulloffskin	a + b e lʲ
3389	wold-Romanian	rub	a + f r e k a
3390	wold-Romanian	rub	a + f r i k ts i o n a
3391	wold-Romanian	stretch	a + ɨ n t i n d e
3392	wold-Romanian	stretch	a + l u ŋ g i
3393	wold-Romanian	pull	a + t r a dʒ
3394	wold-Romanian	pull	a + t ɨ r ɨ
3395	wold-Romanian	spreadout	a + d e s f ə ʃ u r a
3396	wold-Romanian	spreadout	a + e k s t i n d e
3397	wold-Romanian	hangup	a + a g ə ts a
3398	wold-Romanian	hangup	a + a t ɨ r n a
3399	wold-Romanian	hangup	a + s p ɨ n z u r a
3400	wold-Romanian	press	a + a p ə s a
3401	wold-Romanian	press	a + p r e s a
3402	wold-Romanian	squeeze	a + s t o a r tʃ e
3403	wold-Romanian	squeeze	a + t e s k u i
3404	wold-Romanian	pour	a + v ə r s a
3405	wold-Romanian	wash	a + s p ə l a
3406	wold-Romanian	sweep	a + m ə t u r a
3407	wold-Romanian	broom	m ə t u r ə
3408	wold-Romanian	tool	u n e a l t ə
3409	wold-Romanian	tool	s k u l ə
3410	wold-Romanian	carpenter	d u l g e r
3411	wold-Romanian	build	a + k l ə dʲ
3412	wold-Romanian	build	a + z i dʲ
3413	wold-Romanian	build	a + k o n s t r u i
3414	wold-Romanian	bore	a + s f r e d e lʲ
3415	wold-Romanian	bore	a + g ə u rʲ
3416	wold-Romanian	bore	a + b o r t e l i
3417	wold-Romanian	hollowout	a + s k o bʲ
3418	wold-Romanian	hollowout	a + s ə p a
3419	wold-Romanian	saw	f e r ə s t r ə u
3420	wold-Romanian	saw	f i r i z
3421	wold-Romanian	hammer	tʃ i o k a n
3422	wold-Romanian	nailtool	k u i
3423	wold-Romanian	glue	k l e i
3424	wold-Romanian	glue	l i p i tʃʲ
3425	wold-Romanian	blacksmith	f i e r a r
3426	wold-Romanian	blacksmith	f ə u r a r
3427	wold-Romanian	blacksmith	k o v a tʃʲ
3428	wold-Romanian	blacksmith	k o v a lʲ
3429	wold-Romanian	blacksmith	p o t k o v a r
3430	wold-Romanian	forge	a + f ə u rʲ
3431	wold-Romanian	forge	a + f o r ʒ a
3432	wold-Romanian	anvil	n i k o v a l ə
3433	wold-Romanian	anvil	i l ə u
3434	wold-Romanian	cast	a + t u r n a
3435	wold-Romanian	gold	a u r
3436	wold-Romanian	silver	a r dʒ n t
3437	wold-Romanian	copper	a r a m ə
3438	wold-Romanian	iron	f i e r
3439	wold-Romanian	leadchemicalelement	p l u m b
3440	wold-Romanian	tinortinplate	k o s i t o r
3441	wold-Romanian	tinortinplate	s t a n i u
3442	wold-Romanian	potter	o l a r
3443	wold-Romanian	mold	a + m o d e l a
3444	wold-Romanian	clay	a r dʒ l ə
3445	wold-Romanian	clay	l u t
3446	wold-Romanian	glass	s t i k l ə
3447	wold-Romanian	braidverborweavebasket	a + ɨ m p l e tʲ
3448	wold-Romanian	basket	k o ʃ
3449	wold-Romanian	mat	r o g o ʒ i n ə
3450	wold-Romanian	rug	k o v o r
3451	wold-Romanian	rug	k o v o r a ʃ
3452	wold-Romanian	rug	k a r p e t ə
3453	wold-Romanian	rug	m o k e t ə
3454	wold-Romanian	netbag	p l a s ə
3455	wold-Romanian	fanobject	e v a n t a i
3456	wold-Romanian	fanaction	a + f a tʃ e + v ɨ n t
3457	wold-Romanian	carve	a + tʃ i o p lʲ
3458	wold-Romanian	carve	a + s k u l p t a
3459	wold-Romanian	carve	a + g r a v a
3460	wold-Romanian	sculptor	s k u l p t o r
3461	wold-Romanian	chisel	d a l t ə
3462	wold-Romanian	paintpigments	v o p s e a
3463	wold-Romanian	paintpigments	b o i a
3464	wold-Romanian	painting	a + v o p s i
3465	wold-Romanian	painting	a + b o i
3466	wold-Romanian	move	a + m i ʃ k a
3467	wold-Romanian	move	a + d e p l a s a
3468	wold-Romanian	move	a + d i s l o k a
3469	wold-Romanian	turnaround	a + s e + ɨ n v ɨ r tʲ
3470	wold-Romanian	turnaround	a + s e + r o tʲ
3471	wold-Romanian	wrap	a + ɨ n v e lʲ
3472	wold-Romanian	wrap	a + ɨ n f ə ʃ u r a
3473	wold-Romanian	roll	a + r o s t o g o lʲ
3474	wold-Romanian	roll	a + t ə v ə lʲ
3475	wold-Romanian	dropsomething	a + l ə s a + s ə + k a d ə
3476	wold-Romanian	twistaround	a + r ə s u tʃʲ
3477	wold-Romanian	twistaround	a + ɨ n v ɨ r tʲ
3478	wold-Romanian	risemoveupwards	a + r ə s ə rʲ
3479	wold-Romanian	risemoveupwards	a + s e + r i d i k a
3480	wold-Romanian	lift	a + r i d i k a
3481	wold-Romanian	lift	a + ɨ n ə l ts a
3482	wold-Romanian	fall	a + k ə d e a
3483	wold-Romanian	dripemitliquid	a + p i k u r a
3484	wold-Romanian	throw	a + a r u n k a
3485	wold-Romanian	catch	a + p r i n d e
3486	wold-Romanian	shake	a + s k u t u r a
3487	wold-Romanian	shake	a + k l ə t i n a
3488	wold-Romanian	shake	a + a dʒ t a
3489	wold-Romanian	flow	a + k u r dʒ
3490	wold-Romanian	flow	a + s e + s k u r dʒ
3491	wold-Romanian	sinkdescend	a + s e + a f u n d a
3492	wold-Romanian	sinkdescend	a + s e + s k u f u n d a
3493	wold-Romanian	sinkdescend	a + s e + a d ɨ n tʃʲ
3494	wold-Romanian	float	a + p l u tʲ
3495	wold-Romanian	swim	a + ɨ n o t a
3496	wold-Romanian	dive	a + s k u f u n d a
3497	wold-Romanian	dive	a + p l o n ʒ a
3498	wold-Romanian	splash	a + s t r o pʲ
3499	wold-Romanian	sail	a + n a v i g a
3500	wold-Romanian	flymovethroughair	a + z b u r a
3501	wold-Romanian	blowofwind	a + s u f l a
3502	wold-Romanian	blowofwind	a + b a t e
3503	wold-Romanian	crawlorcreep	a + s e + t ɨ r ɨ
3504	wold-Romanian	kneel	a + ɨ ŋ g e n u n k e a
3505	wold-Romanian	crouch	a + s e + tʃ i u k u l i
3506	wold-Romanian	crouch	a + s e + g e m u i
3507	wold-Romanian	crouch	a + s e + z g ɨ r tʃʲ
3508	wold-Romanian	crouch	a + s e + k i r tʃʲ
3509	wold-Romanian	crouch	a + s e + s t r ɨ ŋ g e
3510	wold-Romanian	slip	a + a l u n e k a
3511	wold-Romanian	slip	d e r a p a
3512	wold-Romanian	jump	a + s ə rʲ
3513	wold-Romanian	jump	a + s ə l t a
3514	wold-Romanian	kick	a + l o vʲ
3515	wold-Romanian	dance	a + d a n s a
3516	wold-Romanian	dance	a + ʒ u k a
3517	wold-Romanian	walk	a + m e r dʒ + p e + ʒ o s
3518	wold-Romanian	walk	a + u m b l a
3519	wold-Romanian	walk	a + s e + d u tʃ e
3520	wold-Romanian	limp	a + ʃ k i o p ə t a
3521	wold-Romanian	limp	a + ʃ o n t ɨ k ə i
3522	wold-Romanian	run	a + a l e r g a
3523	wold-Romanian	go	a + m e r dʒ
3524	wold-Romanian	goupascend	a + u r k a
3525	wold-Romanian	climb	a + a k ə ts ə r a
3526	wold-Romanian	climb	a + s e + a b u r k a
3527	wold-Romanian	godowndescend	a + k o b o r ɨ
3528	wold-Romanian	godowndescend	a + p o g o r ɨ
3529	wold-Romanian	goout	a + i e ʃʲ
3530	wold-Romanian	come	a + v e nʲ
3531	wold-Romanian	comeback	a + s e + ɨ n t o a r tʃ e
3532	wold-Romanian	leave	a + p l e k a
3533	wold-Romanian	disappear	a + d i s p ə r e a
3534	wold-Romanian	disappear	a + p i e rʲ
3535	wold-Romanian	flee	a + f u dʒʲ
3536	wold-Romanian	follow	a + u r m a
3537	wold-Romanian	pursue	a + u r m ə rʲ
3538	wold-Romanian	arrive	a + s o sʲ
3539	wold-Romanian	arrive	a + a ʒ u ŋ g e
3540	wold-Romanian	approach	a + s e + a p r o p i a
3541	wold-Romanian	enter	a + i n t r a
3542	wold-Romanian	carry	a + d u tʃ e
3543	wold-Romanian	carryinhand	a + p u r t a
3544	wold-Romanian	carryonshoulder	a + p u r t a + p e + u m e rʲ
3545	wold-Romanian	carryonhead	a + p u r t a + p e + k a p
3546	wold-Romanian	carryunderarm	a + p u r t a + s u b + b r a ts
3547	wold-Romanian	bring	a + a d u tʃ e
3548	wold-Romanian	send	a + t r i m i t e
3549	wold-Romanian	leadguide	a + k o n d u tʃ e
3550	wold-Romanian	leadguide	a + k ɨ r m u i
3551	wold-Romanian	drive	a + k o n d u tʃ e
3552	wold-Romanian	ride	a + k ə l ə rʲ
3553	wold-Romanian	push	a + ɨ m b r ɨ n tʃʲ
3554	wold-Romanian	road	s t r a d ə
3555	wold-Romanian	road	ʃ o s e a
3556	wold-Romanian	path	d r u m
3557	wold-Romanian	path	k a l e
3558	wold-Romanian	bridge	p o d
3559	wold-Romanian	cart	k a r
3560	wold-Romanian	cart	k ə r u ts ə
3561	wold-Romanian	wheel	r o a t ə
3562	wold-Romanian	axle	o s i e
3563	wold-Romanian	axle	a k s ə
3564	wold-Romanian	yoke	ʒ u g
3565	wold-Romanian	ship	n a v ə
3566	wold-Romanian	ship	v a p o r
3567	wold-Romanian	ship	v a s
3568	wold-Romanian	boat	b a r k ə
3569	wold-Romanian	canoe	k a n o e
3570	wold-Romanian	outrigger	f u r k e t
3571	wold-Romanian	raft	p l u t ə
3572	wold-Romanian	oar	v ɨ s l ə
3573	wold-Romanian	paddle	p a d e l ə
3574	wold-Romanian	row	a + v ɨ s lʲ
3575	wold-Romanian	rudder	k ɨ r m ə
3576	wold-Romanian	mast	k a t a r g
3577	wold-Romanian	sailcloth	k o r a b i e
3578	wold-Romanian	anchor	a n k o r ə
3579	wold-Romanian	port	p o r t
3580	wold-Romanian	port	l i m a n
3581	wold-Romanian	landdescend	a + d e b a r k a
3582	wold-Romanian	have	a + a v e a
3583	wold-Romanian	own	a + p o s e d a
3584	wold-Romanian	own	a + s t ə p ɨ nʲ
3585	wold-Romanian	take	a + p r i n d e
3586	wold-Romanian	seize	a + a p u k a
3587	wold-Romanian	hold	a + ts i n e
3588	wold-Romanian	get	a + p r i mʲ
3589	wold-Romanian	get	a + o b ts i n e
3590	wold-Romanian	keep	a + p ə s t r a
3591	wold-Romanian	keep	a + ts i n e
3592	wold-Romanian	thing	l u k r u
3593	wold-Romanian	thing	o b i e k t
3594	wold-Romanian	give	a + d a
3595	wold-Romanian	giveback	a + d a + ɨ n a p o i
3596	wold-Romanian	giveback	a + ɨ n a p o i a
3597	wold-Romanian	giveback	a + r e s t i t u i
3598	wold-Romanian	preserve	a + m e n ts i n e
3599	wold-Romanian	rescue	a + s a l v a
3600	wold-Romanian	rescue	a + s k o a t e
3601	wold-Romanian	destroy	a + d i s t r u dʒ
3602	wold-Romanian	destroy	a + n i m i tʃʲ
3603	wold-Romanian	destroy	a + r u i n a
3604	wold-Romanian	injure	a + r ə nʲ
3605	wold-Romanian	injure	a + v ə t ə m a
3606	wold-Romanian	injure	a + l e z a
3607	wold-Romanian	lookfor	a + k ə u t a
3608	wold-Romanian	find	a + g ə s i
3609	wold-Romanian	find	a + a f l a
3610	wold-Romanian	misplace	a + p i e r d e
3611	wold-Romanian	letgoorsetfree	a + d a + d r u m u l
3612	wold-Romanian	letgoorsetfree	a + e l i b e r a
3613	wold-Romanian	money	b a nʲ
3614	wold-Romanian	coin	m o n e d ə
3615	wold-Romanian	rich	b o g a t
3616	wold-Romanian	rich	a v u t
3617	wold-Romanian	poor	s ə r m a n
3618	wold-Romanian	poor	s ə r a k
3619	wold-Romanian	beggar	tʃ e r ʃ e t o r
3620	wold-Romanian	stingy	z g ɨ r tʃ i t
3621	wold-Romanian	stingy	a v a r
3622	wold-Romanian	lend	a + ɨ m p r u m u t a
3623	wold-Romanian	borrow	a + ɨ m p r u m u t a
3624	wold-Romanian	owe	a + d a t o r a
3625	wold-Romanian	debt	d a t o r i e
3626	wold-Romanian	pay	a + p l ə tʲ
3627	wold-Romanian	bill	s o k o t e a l ə
3628	wold-Romanian	tax	i m p o z i t
3629	wold-Romanian	hire	a + a ŋ g a ʒ a
3630	wold-Romanian	hire	a + t o k mʲ
3631	wold-Romanian	wages	s a l a r i u
3632	wold-Romanian	wages	l e a f ə
3633	wold-Romanian	earn	a + k ɨ ʃ t i g a
3634	wold-Romanian	buy	a + k u m p ə r a
3635	wold-Romanian	sell	a + v i n d e
3636	wold-Romanian	tradeorbarter	a + f a tʃ e + t r o k
3637	wold-Romanian	merchant	k o m e r tʃ i a n t
3638	wold-Romanian	merchant	n e g u s t o r
3639	wold-Romanian	market	p i a ts ə
3640	wold-Romanian	market	t ɨ r g
3641	wold-Romanian	store	m a g a z i n
3642	wold-Romanian	store	p r ə v ə l i e
3643	wold-Romanian	price	p r e ts
3644	wold-Romanian	expensive	s k u m p
3645	wold-Romanian	expensive	k o s t i s i t o r
3646	wold-Romanian	cheap	i e f t i n
3647	wold-Romanian	cheap	k o n v e n a b i l
3648	wold-Romanian	share	a + ɨ m p ə r tsʲ
3649	wold-Romanian	share	a + ɨ m p ə r t ə ʃʲ
3650	wold-Romanian	weigh	a + k ɨ n t ə rʲ
3651	wold-Romanian	after	d u p ə
3652	wold-Romanian	behind	ɨ n + s p a t e
3653	wold-Romanian	behind	ɨ n d ə r ə t
3654	wold-Romanian	behind	ɨ n + u r m ə
3655	wold-Romanian	behind	ɨ n a p o i a
3656	wold-Romanian	beside	a l ə t u rʲ
3657	wold-Romanian	beside	l ɨ ŋ g ə
3658	wold-Romanian	down	ʒ o s
3659	wold-Romanian	before	ɨ n a i n t e
3660	wold-Romanian	infrontof	ɨ n + f a ts ə
3661	wold-Romanian	inside	ɨ n ə u n t r u
3662	wold-Romanian	outside	a f a r ə
3663	wold-Romanian	beloworunder	ɨ n + ʒ o s
3664	wold-Romanian	beloworunder	d e d e s u b t
3665	wold-Romanian	beloworunder	s u b
3666	wold-Romanian	up	s u s
3667	wold-Romanian	placeposition	l o k
3668	wold-Romanian	put	a + p u n e
3669	wold-Romanian	sit	ʃ e d e a
3670	wold-Romanian	sit	a + s t a + ʒ o s
3671	wold-Romanian	liedown	a + s e + k u l k a
3672	wold-Romanian	stand	a + s t a + ɨ n + p i tʃ i o a r e
3673	wold-Romanian	remain	a + r ə m ɨ n e
3674	wold-Romanian	remain	a + s t a + p e + l o k
3675	wold-Romanian	remains	r e s t u rʲ
3676	wold-Romanian	remains	r ə m ə ʃ i ts ə
3677	wold-Romanian	gather	a + r e k o l t a
3678	wold-Romanian	gather	a + s t r ɨ ŋ g e
3679	wold-Romanian	gather	a + a d u n a
3680	wold-Romanian	pickup	a + r i d i k a
3681	wold-Romanian	pickup	a + s ə l t a
3682	wold-Romanian	pileup	a + ɨ n g r ə m ə dʲ
3683	wold-Romanian	join	a + l e g a
3684	wold-Romanian	separate	a + s e p a r a
3685	wold-Romanian	separate	a + d e t a ʃ a
3686	wold-Romanian	separate	a + d e s p ə r tsʲ
3687	wold-Romanian	divide	a + ɨ m p ə r tsʲ
3688	wold-Romanian	divide	a + r e p a r t i z a
3689	wold-Romanian	open	a + d e s k i d e
3690	wold-Romanian	shut	a + ɨ n k i d e
3691	wold-Romanian	cover	a + a k o p e rʲ
3692	wold-Romanian	hideconceal	a + a s k u n d e
3693	wold-Romanian	high	ɨ n a l t
3694	wold-Romanian	low	ʒ o s
3695	wold-Romanian	top	v ɨ r f
3696	wold-Romanian	top	p i s k
3697	wold-Romanian	top	k r e a s t ə
3698	wold-Romanian	top	k o a m ə
3699	wold-Romanian	bottom	f u n d
3700	wold-Romanian	bottom	d o s
3701	wold-Romanian	endofspace	k a p ə t
3702	wold-Romanian	pointed	a s k u ts i t
3703	wold-Romanian	edge	m u k i e
3704	wold-Romanian	edge	b o r d u r ə
3705	wold-Romanian	edge	m a r dʒ n e
3706	wold-Romanian	side	l a t u r ə
3707	wold-Romanian	side	p a r t e
3708	wold-Romanian	middle	m i ʒ l o k
3709	wold-Romanian	middle	tʃ e n t r u
3710	wold-Romanian	right	d r e p t
3711	wold-Romanian	left	s t ɨ ŋ g
3712	wold-Romanian	near	a p r o a p e
3713	wold-Romanian	far	d e p a r t e
3714	wold-Romanian	east	r ə s ə r i t
3715	wold-Romanian	east	e s t
3716	wold-Romanian	east	o r i e n t
3717	wold-Romanian	west	a p u s
3718	wold-Romanian	west	v e s t
3719	wold-Romanian	west	o k s i d e n t
3720	wold-Romanian	north	n o r d
3721	wold-Romanian	north	m i a z ə n o a p t e
3722	wold-Romanian	south	s u d
3723	wold-Romanian	south	m i a z ə zʲ
3724	wold-Romanian	grow	a + k r e ʃ t e
3725	wold-Romanian	measure	a + m ə s u r a
3726	wold-Romanian	fathom	s t ɨ n ʒ e n
3727	wold-Romanian	big	m a r e
3728	wold-Romanian	small	m i k
3729	wold-Romanian	long	l u ŋ g
3730	wold-Romanian	tall	ɨ n a l t
3731	wold-Romanian	short	s k u r t
3732	wold-Romanian	wide	l a r g
3733	wold-Romanian	wide	l a t
3734	wold-Romanian	narrow	s t r ɨ m t
3735	wold-Romanian	narrow	ɨ ŋ g u s t
3736	wold-Romanian	thick	g r o s
3737	wold-Romanian	thinofshapeofobject	s u b ts i r e
3738	wold-Romanian	deep	a d ɨ n k
3739	wold-Romanian	deep	p r o f u n d
3740	wold-Romanian	shallow	p u ts i n + a d ɨ n k
3741	wold-Romanian	flat	n e t e d
3742	wold-Romanian	flat	p l a n
3743	wold-Romanian	flat	p l a t
3744	wold-Romanian	flat	ɨ n t i n s
3745	wold-Romanian	straight	d r e p t
3746	wold-Romanian	crooked	s t r ɨ m b
3747	wold-Romanian	crooked	k o t i t
3748	wold-Romanian	crooked	ɨ n t o r t o k e a t
3749	wold-Romanian	crooked	k u r b a t
3750	wold-Romanian	crooked	ɨ n k o v o i a t
3751	wold-Romanian	hook	k ɨ r l i g
3752	wold-Romanian	corner	k o l ts
3753	wold-Romanian	corner	u ŋ g h e r
3754	wold-Romanian	cross	k r u tʃ e
3755	wold-Romanian	square	p ə t r a t
3756	wold-Romanian	square	k v a d r a t
3757	wold-Romanian	round	r o t u n d
3758	wold-Romanian	circle	tʃ e r k
3759	wold-Romanian	ball	g l o b
3760	wold-Romanian	ball	s f e r ə
3761	wold-Romanian	line	l i n i e
3762	wold-Romanian	line	r ɨ n d
3763	wold-Romanian	hole	g a u r ə
3764	wold-Romanian	hole	s k o b i t u r ə
3765	wold-Romanian	hole	b o r t ə
3766	wold-Romanian	similar	a s e m ə n ə t o r
3767	wold-Romanian	similar	s i m i l a r
3768	wold-Romanian	change	a + s k i m b a
3769	wold-Romanian	change	a + m o d i f i k a
3770	wold-Romanian	zero	z e r o
3771	wold-Romanian	one	u n u
3772	wold-Romanian	two	d o i
3773	wold-Romanian	three	t r e i
3774	wold-Romanian	four	p a t r u
3775	wold-Romanian	five	tʃ i n tʃʲ
3776	wold-Romanian	six	ʃ a s e
3777	wold-Romanian	seven	ʃ a p t e
3778	wold-Romanian	eight	o p t
3779	wold-Romanian	nine	n o u ə
3780	wold-Romanian	ten	z e tʃ e
3781	wold-Romanian	eleven	u n s p r e z e tʃ e
3782	wold-Romanian	twelve	d o i s p r e z e tʃ e
3783	wold-Romanian	fifteen	tʃ i n tʃ i s p r e z e tʃ e
3784	wold-Romanian	twenty	d o u ə z e tʃʲ
3785	wold-Romanian	hundred	s u t ə
3786	wold-Romanian	thousand	m i e
3787	wold-Romanian	count	a + n u m ə r a
3788	wold-Romanian	all	t o tsʲ
3789	wold-Romanian	many	m u l tsʲ
3790	wold-Romanian	more	m a i + m u l tsʲ
3791	wold-Romanian	few	p u ts i nʲ
3792	wold-Romanian	enough	d e s t u l
3793	wold-Romanian	enough	s u f i tʃ i e n t
3794	wold-Romanian	some	n i ʃ t e
3795	wold-Romanian	some	k ɨ ts i v a
3796	wold-Romanian	crowd	b u l u k
3797	wold-Romanian	crowd	d r o a i e
3798	wold-Romanian	crowd	tʃ e a t ə
3799	wold-Romanian	crowd	g l o a t ə
3800	wold-Romanian	full	p l i n
3801	wold-Romanian	empty	g o l
3802	wold-Romanian	part	p a r t e
3803	wold-Romanian	half	ʒ u m ə t a t e
3804	wold-Romanian	only	d o a r
3805	wold-Romanian	only	n u m a i
3806	wold-Romanian	first	ɨ n t ɨ i
3807	wold-Romanian	first	p r i m
3808	wold-Romanian	lastfinal	u l t i m
3809	wold-Romanian	lastfinal	tʃ e l + d i n + u r m ə
3810	wold-Romanian	second	d o i l e a
3811	wold-Romanian	pair	p e r e k e
3812	wold-Romanian	twice	d e + d o u ə + o rʲ
3813	wold-Romanian	third	t r e i l e a
3814	wold-Romanian	threetimes	d e + t r e i + o rʲ
3815	wold-Romanian	time	t i m p
3816	wold-Romanian	time	v r e m e
3817	wold-Romanian	age	v ɨ r s t ə
3818	wold-Romanian	new	n o u
3819	wold-Romanian	young	t ɨ n ə r
3820	wold-Romanian	old	b ə t r ɨ n
3821	wold-Romanian	old	v e kʲ
3822	wold-Romanian	early	d e v r e m e
3823	wold-Romanian	early	t i m p u r i u
3824	wold-Romanian	late	t ɨ r z i u
3825	wold-Romanian	now	a k u m a
3826	wold-Romanian	immediately	ɨ n d a t ə
3827	wold-Romanian	immediately	i m e d i a t
3828	wold-Romanian	immediately	a k u ʃʲ
3829	wold-Romanian	fast	r e p e d e
3830	wold-Romanian	fast	i u t e
3831	wold-Romanian	slow	ɨ n tʃ e t
3832	wold-Romanian	hurry	a + s e + g r ə bʲ
3833	wold-Romanian	hurry	a ʃ i + i u tʲ
3834	wold-Romanian	belate	a + ɨ n t ɨ r z i a
3835	wold-Romanian	begin	a + ɨ n tʃ e p e
3836	wold-Romanian	begin	a + p o r nʲ
3837	wold-Romanian	lastendure	a + d u r a
3838	wold-Romanian	endoftime	s f ɨ r ʃ i t
3839	wold-Romanian	endoftime	f i n e
